ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
design_6,LLPhyScore features,0.1956017,0.32323796,0.020889036,0.01784342,0.02478582,0.02406073,0.03888033,0.33844703,0.004097583,0.012156416
design_60,LLPhyScore features,0.15297313,0.09275871,0.1620716,0.2544742,0.042338353,0.034499712,0.039613638,0.14008573,0.016889919,0.064295
design_61,LLPhyScore features,0.09529217,0.1703442,0.06761905,0.24159062,0.022689588,0.043984592,0.028734496,0.19116722,0.006008882,0.13256915
design_62,LLPhyScore features,0.14753076,0.10857128,0.1162664,0.215276,0.059480473,0.030055437,0.06011186,0.15276371,0.068082295,0.041861743
design_63,LLPhyScore features,0.1439335,0.17048997,0.080963865,0.25436372,0.030432409,0.027728707,0.020368835,0.21891151,0.004104967,0.048702538
design_64,LLPhyScore features,0.17736225,0.18186682,0.09164164,0.14413148,0.1064412,0.011094533,0.02075544,0.257136,0.004266685,0.005303939
design_65,LLPhyScore features,0.14812592,0.1410994,0.12107639,0.23524885,0.071760595,0.009892823,0.023495823,0.21987207,0.004500877,0.024927245
design_66,LLPhyScore features,0.12981132,0.08940496,0.14384331,0.25510275,0.052007135,0.039633412,0.03079732,0.14158471,0.0043470785,0.11346811
design_67,LLPhyScore features,0.13387589,0.20274207,0.057930283,0.24821648,0.050656684,0.010356359,0.011615912,0.25299054,0.0010369171,0.030578855
design_68,LLPhyScore features,0.2442567,0.16839008,0.032030724,0.15009032,0.010857396,0.09877604,0.013385872,0.20533292,0.012166803,0.06471314
design_69,LLPhyScore features,0.12752183,0.117681235,0.0963705,0.23670356,0.039800253,0.051076975,0.035457842,0.15485993,0.008777986,0.1317498
design_7,LLPhyScore features,0.16857828,0.33816943,0.026225897,0.012644643,0.05663747,0.0067230323,0.024368094,0.35892075,0.0046502356,0.0030820903
design_70,LLPhyScore features,0.17642139,0.3006464,0.025814194,0.012515579,0.059889585,0.03566988,0.04193215,0.3202596,0.017850915,0.009000326
design_71,LLPhyScore features,0.16780712,0.34531188,0.018413402,0.018353363,0.037363287,0.014200466,0.031610955,0.35783067,0.0049814084,0.004127324
design_72,LLPhyScore features,0.2525032,0.32972297,0.00926016,0.004792912,0.01804455,0.026812213,0.010590861,0.3396591,0.0036479298,0.0049661426
design_73,LLPhyScore features,0.19577259,0.15018989,0.064510405,0.2284542,0.01223471,0.07743373,0.008781218,0.15565254,0.0024060006,0.104564734
design_74,LLPhyScore features,0.18369627,0.29938388,0.03245533,0.019474886,0.037010595,0.03962232,0.0425667,0.32037014,0.009960058,0.0154597685
design_75,LLPhyScore features,0.118228205,0.2884057,0.047882404,0.030021507,0.037171893,0.046198424,0.07739922,0.29982919,0.046625987,0.008237491
design_76,LLPhyScore features,0.15496437,0.2517059,0.03624938,0.15231682,0.025316168,0.019284774,0.05497651,0.28834802,0.006024831,0.01081328
design_77,LLPhyScore features,0.12716849,0.12767622,0.06259604,0.26014104,0.015080373,0.056251228,0.02542456,0.18870029,0.0057002422,0.13126148
design_78,LLPhyScore features,0.10463509,0.18336198,0.05619047,0.2411874,0.031815726,0.034181982,0.023690697,0.21254829,0.005296622,0.10709181
design_79,LLPhyScore features,0.13239959,0.11717766,0.1356096,0.24946252,0.034975395,0.05467403,0.0279818,0.13440971,0.0046623787,0.108647354
design_8,LLPhyScore features,0.22023743,0.3081279,0.035392072,0.008055806,0.069952555,0.010485033,0.015759485,0.32073146,0.007590361,0.003667892
design_80,LLPhyScore features,0.21138005,0.2904898,0.03118032,0.03079095,0.038979337,0.030643728,0.0421116,0.31343395,0.006125863,0.004864366
design_81,LLPhyScore features,0.1143079,0.18691036,0.104103796,0.18146418,0.055289503,0.013868058,0.025421355,0.20975202,0.002103886,0.10677887
design_82,LLPhyScore features,0.17508794,0.19099943,0.1013255,0.057254937,0.11244526,0.016062392,0.044748217,0.23119694,0.06631712,0.004562267
design_83,LLPhyScore features,0.15001129,0.24606445,0.05486479,0.1465743,0.042266857,0.030490112,0.037082043,0.2707033,0.009598305,0.012344515
design_84,LLPhyScore features,0.22843525,0.31879386,0.031521518,0.0061292504,0.039893664,0.018751603,0.026378827,0.31789094,0.0064882017,0.005716892
design_85,LLPhyScore features,0.16129562,0.3404819,0.026036473,0.011851811,0.047799088,0.013589154,0.032433312,0.35501975,0.007772766,0.0037201273
design_86,LLPhyScore features,0.21013439,0.19031194,0.09367359,0.17798786,0.051660784,0.0178569,0.01146415,0.21478295,0.002004033,0.030123407
design_87,LLPhyScore features,0.1920182,0.13339287,0.15872575,0.23593578,0.07036238,0.022337558,0.016881788,0.12710233,0.0043695266,0.03887383
design_88,LLPhyScore features,0.18230055,0.35316613,0.027468218,0.009226861,0.041244514,0.007350917,0.0093780495,0.3658815,0.0009776363,0.0030056126
design_89,LLPhyScore features,0.17549062,0.23474388,0.08126452,0.091723256,0.050922282,0.00927925,0.043950144,0.30602938,0.0031536755,0.003443015
design_9,LLPhyScore features,0.129569,0.13466415,0.12147364,0.22471176,0.037654284,0.07240482,0.029359818,0.12890562,0.005142325,0.116114534
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
