ProtID,Predicted Compartment,Score
Sequence_30,pml-body,7.985468e-09
Sequence_30,post_synaptic_density,4.505706e-20
Sequence_30,stress_granule,0.00063323346
Sequence_30,chromosome,0.00808744
Sequence_30,nucleolus,0.98922265
Sequence_30,nuclear_pore_complex,5.9286394e-09
Sequence_30,cajal_body,3.760408e-07
Sequence_30,rna_granule,6.247145e-17
Sequence_30,cell_junction,2.5515285e-14
Sequence_30,transcriptional,9.695551e-10
Sequence_31,nuclear_speckle,4.808405e-07
Sequence_31,p-body,5.9384815e-06
Sequence_31,pml-body,0.00018851238
Sequence_31,post_synaptic_density,6.1637934e-06
Sequence_31,stress_granule,2.6421744e-06
Sequence_31,chromosome,0.9978638
Sequence_31,nucleolus,0.00018119546
Sequence_31,nuclear_pore_complex,0.0015338996
Sequence_31,cajal_body,2.206227e-05
Sequence_31,rna_granule,2.079755e-13
Sequence_31,cell_junction,0.00019143645
Sequence_31,transcriptional,3.8890776e-06
Sequence_32,nuclear_speckle,5.4087975e-15
Sequence_32,p-body,0.005322735
Sequence_32,pml-body,0.0002312038
Sequence_32,post_synaptic_density,2.4579247e-05
Sequence_32,stress_granule,0.25490683
Sequence_32,chromosome,0.68192434
Sequence_32,nucleolus,6.130456e-07
Sequence_32,nuclear_pore_complex,3.2172711e-06
Sequence_32,cajal_body,5.6548565e-13
Sequence_32,rna_granule,2.931614e-17
Sequence_32,cell_junction,0.057586182
Sequence_32,transcriptional,2.1521157e-07
Sequence_33,nuclear_speckle,1.2315971e-08
Sequence_33,p-body,0.0005046055
Sequence_33,pml-body,9.727988e-06
Sequence_33,post_synaptic_density,2.9248713e-06
Sequence_33,stress_granule,0.97510535
Sequence_33,chromosome,0.0046947156
Sequence_33,nucleolus,6.7888395e-12
Sequence_33,nuclear_pore_complex,0.0012923486
Sequence_33,cajal_body,2.346825e-10
Sequence_33,rna_granule,4.885114e-18
Sequence_33,cell_junction,0.018390166
Sequence_33,transcriptional,1.7051863e-07
Sequence_34,nuclear_speckle,2.6714724e-06
Sequence_34,p-body,0.9046314
Sequence_34,pml-body,3.0963643e-06
Sequence_34,post_synaptic_density,3.3156846e-09
Sequence_34,stress_granule,0.08570081
Sequence_34,chromosome,0.005164852
Sequence_34,nucleolus,2.0576445e-09
Sequence_34,nuclear_pore_complex,0.004495897
Sequence_34,cajal_body,7.537924e-07
Sequence_34,rna_granule,1.8615655e-14
Sequence_34,cell_junction,5.91085e-08
Sequence_34,transcriptional,3.2839753e-07
Sequence_35,nuclear_speckle,2.390661e-18
Sequence_35,p-body,2.6730731e-06
Sequence_35,pml-body,3.245234e-08
Sequence_35,post_synaptic_density,1.05019714e-22
Sequence_35,stress_granule,1.3307958e-11
Sequence_35,chromosome,0.6225421
Sequence_35,nucleolus,0.37681112
Sequence_35,nuclear_pore_complex,1.106849e-08
Sequence_35,cajal_body,9.865832e-17
Sequence_35,rna_granule,9.049919e-30
Sequence_35,cell_junction,0.0006441424
Sequence_35,transcriptional,6.594787e-14
Sequence_36,nuclear_speckle,3.0351808e-07
Sequence_36,p-body,0.0033299767
Sequence_36,pml-body,4.7611607e-05
Sequence_36,post_synaptic_density,0.001220229
Sequence_36,stress_granule,8.715975e-06
Sequence_36,chromosome,0.11366398
Sequence_36,nucleolus,0.21490973
Sequence_36,nuclear_pore_complex,0.0007964062
Sequence_36,cajal_body,0.105530165
Sequence_36,rna_granule,4.4647484e-12
Sequence_36,cell_junction,0.5604919
Sequence_36,transcriptional,8.340584e-07
Sequence_37,nuclear_speckle,4.070542e-09
Sequence_37,p-body,1.4204284e-06
Sequence_37,pml-body,7.2239914e-07
Sequence_37,post_synaptic_density,2.2138516e-07
Sequence_37,stress_granule,6.5228045e-07
Sequence_37,chromosome,0.32915077
Sequence_37,nucleolus,0.6708362
Sequence_37,nuclear_pore_complex,9.923062e-06
Sequence_37,cajal_body,8.643264e-09
Sequence_37,rna_granule,7.8031395e-19
Sequence_37,cell_junction,7.300565e-08
Sequence_37,transcriptional,3.424254e-11
