ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_61,original+LLPhyScore features,5.9527592e-05,0.00039218023,0.0022902489,0.0006903452,0.003284634,0.0044946223,0.9729186,2.6295213e-05,6.965758e-05,2.9781464e-08,0.015773764,8.378936e-08
design_62,original+LLPhyScore features,0.00029287254,4.354917e-05,0.050293863,0.0011682316,3.1998372e-06,0.049384575,0.8871915,4.258389e-07,5.113e-12,6.955305e-08,0.011621649,6.052655e-08
design_63,original+LLPhyScore features,2.2186154e-11,1.1823825e-05,6.752915e-06,4.6744853e-07,6.165299e-10,4.827357e-08,0.5787886,2.5197394e-10,7.84113e-17,2.0095416e-16,0.42119238,9.901155e-10
design_64,original+LLPhyScore features,0.0021615345,0.0008400459,0.6271836,0.013032166,1.6016344e-08,0.14297208,0.15262759,8.385557e-07,7.062032e-10,2.9143477e-08,0.061180986,1.1049675e-06
design_65,original+LLPhyScore features,5.909584e-08,1.3332027e-05,1.0707356e-09,0.30377927,2.7372717e-09,7.737632e-11,0.13030665,4.814732e-12,1.8908892e-08,8.082529399999999e-23,0.5659006,1.5191253e-09
design_66,original+LLPhyScore features,0.0015110279,1.572358e-08,0.012262193,0.07454894,9.421991e-06,9.407374e-06,0.14875844,1.897621e-05,3.4430786e-10,9.165537e-09,0.7628734,8.179285e-06
design_67,original+LLPhyScore features,1.7456456e-05,9.520702e-06,4.369586e-05,0.52948165,6.389889e-07,2.9372447e-07,0.42135748,2.7971095e-10,6.549633e-10,1.5582947e-16,0.04908921,1.487639e-08
design_68,original+LLPhyScore features,8.157321e-05,1.834463e-08,0.29507962,0.005566634,4.753648e-06,0.00089774927,0.57951236,1.0541866e-07,5.532532e-11,2.3165999e-08,0.11885713,3.880123e-08
design_69,original+LLPhyScore features,0.15937053,0.019496368,0.0014494765,0.65561664,9.014767e-07,0.00041716476,0.1541064,9.544558e-09,8.169256e-06,2.0639565e-11,0.009534218,9.584149e-08
design_7,original+LLPhyScore features,3.3347205e-05,0.00027481324,5.9389723e-08,5.3892327e-05,2.0132527e-06,0.0015347796,0.7491896,7.0368543e-07,0.0025531228,5.446462e-10,0.2463573,1.9519526e-07
design_70,original+LLPhyScore features,4.20401e-07,2.4463206e-11,5.5503097e-05,0.0001270849,0.00020376334,2.8591448e-06,0.47338256,5.6680122e-08,1.5003336999999999e-19,6.4454854e-13,0.5262277,8.161525e-08
design_71,original+LLPhyScore features,3.549601e-06,3.1456443e-10,0.00018333076,3.4276476e-05,1.183529e-10,0.009025034,0.88954073,1.596458e-08,1.0928036e-18,2.7858312e-12,0.10121313,4.4060435e-09
design_72,original+LLPhyScore features,2.810826e-08,0.0031689636,3.4374457e-06,0.21225604,3.7902896e-11,6.7063377e-10,0.37124693,4.3470023e-09,2.7856412e-11,4.4396102e-20,0.41332462,1.5866014e-08
design_73,original+LLPhyScore features,8.636805e-06,2.5200006e-06,4.8652964e-06,0.0002496679,3.1030188e-05,3.4725072e-06,0.49310344,1.961344e-06,1.8164899e-07,1.4405227e-09,0.5062392,0.00035505142
design_74,original+LLPhyScore features,2.4444003e-05,6.5213266e-05,0.02008385,0.010708231,4.7662783e-07,1.7020906e-05,0.7815782,4.5078735e-07,2.2050042e-09,2.6217548e-10,0.18751821,4.0290865e-06
design_75,original+LLPhyScore features,0.004908907,2.4975718e-05,0.0006759161,0.034466576,0.000103010294,8.243658e-05,0.31074232,4.734273e-05,0.00778633,2.6573764e-06,0.64115566,3.892827e-06
design_76,original+LLPhyScore features,7.078675e-05,4.2288125e-08,0.0019157581,0.08387,3.6168655e-09,1.3889074e-06,0.6513782,1.8000598e-08,1.0504368e-11,3.0151262e-15,0.2627639,1.0521168e-08
design_77,original+LLPhyScore features,9.4213814e-05,0.0015882326,0.042068142,0.00010142866,0.0016191793,0.013274162,0.6823979,0.000216472,1.0924044e-12,1.623019e-07,0.25860596,3.410569e-05
design_78,original+LLPhyScore features,0.00033327972,2.1352137e-06,0.00015491273,0.09652201,4.0622127e-11,0.002615083,0.36689317,5.44743e-09,9.54785e-07,9.480112e-13,0.5334784,1.6370985e-08
design_79,original+LLPhyScore features,0.0014423333,8.224962e-05,0.0013920586,0.14828008,9.479609e-05,1.4267998e-07,0.5885772,1.8684028e-05,3.7031384e-08,3.528307e-11,0.26010984,2.6322411e-06
