ProtID,Predicted Compartment,Score
Sequence_7,nucleolus,2.6206604e-07
Sequence_7,nuclear_pore_complex,6.547848e-06
Sequence_7,cajal_body,2.7111464e-11
Sequence_7,rna_granule,1.7767095e-17
Sequence_7,cell_junction,2.0747213e-13
Sequence_7,transcriptional,3.395789e-11
Sequence_8,nuclear_speckle,4.874149e-10
Sequence_8,p-body,0.016015215
Sequence_8,pml-body,0.0001362754
Sequence_8,post_synaptic_density,2.0036697e-09
Sequence_8,stress_granule,2.6646132e-08
Sequence_8,chromosome,0.9556008
Sequence_8,nucleolus,3.8935927e-06
Sequence_8,nuclear_pore_complex,0.028241612
Sequence_8,cajal_body,1.3741726e-06
Sequence_8,rna_granule,1.7519232e-17
Sequence_8,cell_junction,4.5283176e-07
Sequence_8,transcriptional,3.8180693e-07
Sequence_9,nuclear_speckle,4.0361923e-09
Sequence_9,p-body,0.0025459612
Sequence_9,pml-body,5.910925e-08
Sequence_9,post_synaptic_density,1.3130077e-15
Sequence_9,stress_granule,8.6250375e-06
Sequence_9,chromosome,0.7545462
Sequence_9,nucleolus,0.024954915
Sequence_9,nuclear_pore_complex,0.21794403
Sequence_9,cajal_body,8.430171e-08
Sequence_9,rna_granule,4.013929e-16
Sequence_9,cell_junction,4.7590505e-14
Sequence_9,transcriptional,9.443361e-12
Sequence_10,nuclear_speckle,1.929821e-06
Sequence_10,p-body,6.393683e-05
Sequence_10,pml-body,1.3089764e-05
Sequence_10,post_synaptic_density,5.99706e-20
Sequence_10,stress_granule,2.5855645e-08
Sequence_10,chromosome,0.99923855
Sequence_10,nucleolus,0.00059825485
Sequence_10,nuclear_pore_complex,8.425376e-05
Sequence_10,cajal_body,1.2421231e-08
Sequence_10,rna_granule,1.1471684e-20
Sequence_10,cell_junction,4.9100383e-13
Sequence_10,transcriptional,2.1472651e-08
Sequence_11,nuclear_speckle,8.34052e-11
Sequence_11,p-body,0.63610077
Sequence_11,pml-body,0.0009999503
Sequence_11,post_synaptic_density,2.4418396e-13
Sequence_11,stress_granule,0.037626896
Sequence_11,chromosome,0.32505628
Sequence_11,nucleolus,1.0739872e-06
Sequence_11,nuclear_pore_complex,0.000214893
Sequence_11,cajal_body,1.2596276e-09
Sequence_11,rna_granule,2.5232162e-11
Sequence_11,cell_junction,8.6432685e-08
Sequence_11,transcriptional,3.1373784e-08
Sequence_12,nuclear_speckle,1.1830844e-06
Sequence_12,p-body,7.5177604e-06
Sequence_12,pml-body,0.00016974907
Sequence_12,post_synaptic_density,0.05417535
Sequence_12,stress_granule,6.9872056e-07
Sequence_12,chromosome,7.401767e-12
Sequence_12,nucleolus,0.00019635928
Sequence_12,nuclear_pore_complex,2.3842074e-11
Sequence_12,cajal_body,6.049598e-08
Sequence_12,rna_granule,6.651422e-20
Sequence_12,cell_junction,0.94544905
Sequence_12,transcriptional,4.2710195e-09
Sequence_13,nuclear_speckle,1.335428e-06
Sequence_13,p-body,0.47622728
Sequence_13,pml-body,5.397833e-07
Sequence_13,post_synaptic_density,5.0078647e-10
Sequence_13,stress_granule,2.9177485e-07
Sequence_13,chromosome,3.199261e-05
Sequence_13,nucleolus,5.157837e-08
Sequence_13,nuclear_pore_complex,3.6626893e-06
Sequence_13,cajal_body,6.355438e-08
Sequence_13,rna_granule,4.1865456e-20
Sequence_13,cell_junction,0.5237348
Sequence_13,transcriptional,1.848607e-08
Sequence_14,nuclear_speckle,4.9249568e-08
Sequence_14,p-body,1.848992e-07
Sequence_14,pml-body,2.202972e-08
Sequence_14,post_synaptic_density,2.300211e-06
Sequence_14,stress_granule,1.6861793e-07
Sequence_14,chromosome,5.075795e-10
Sequence_14,nucleolus,2.7783499e-16
Sequence_14,nuclear_pore_complex,0.050125137
Sequence_14,cajal_body,4.6754394e-08
Sequence_14,rna_granule,1.2815646e-28
Sequence_14,cell_junction,0.9498719
Sequence_14,transcriptional,8.676837e-08
Sequence_15,nuclear_speckle,1.4256665e-05
Sequence_15,p-body,0.25743553
Sequence_15,pml-body,1.5873804e-06
Sequence_15,post_synaptic_density,2.790151e-09
Sequence_15,stress_granule,1.5692206e-07
Sequence_15,chromosome,0.7257328
Sequence_15,nucleolus,0.013772768
Sequence_15,nuclear_pore_complex,3.4954e-05
Sequence_15,cajal_body,0.0029910007
Sequence_15,rna_granule,1.4841977e-12
Sequence_15,cell_junction,1.657513e-05
Sequence_15,transcriptional,4.036109e-07
Sequence_16,nuclear_speckle,1.5834356e-05
Sequence_16,p-body,1.0646127e-05
Sequence_16,pml-body,0.004196884
Sequence_16,post_synaptic_density,4.7729714e-09
